"month","IATA_CODE","carrier","carrier_name","arr_flights","carrier_ct","weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_delay","AIRPORT","CITY","STATE","LATITUDE","LONGITUDE"
1,"ATL","EV","ExpressJet Airlines Inc.",905,46.82,0,48.93,0,102.26,17115,"Hartsfield-Jackson Atlanta International Airport","Atlanta","GA",33.64044,-84.42694
1,"ATL","YX","Republic Airline",409,12.19,0.86,24.55,0,30.4,2989,"Hartsfield-Jackson Atlanta International Airport","Atlanta","GA",33.64044,-84.42694
8,"ATL","EV","ExpressJet Airlines Inc.",1147,66.99,0,52.69,0,99.33,16061,"Hartsfield-Jackson Atlanta International Airport","Atlanta","GA",33.64044,-84.42694
1,"ATL","AA","American Airlines Inc.",956,64.22,5.08,40.49,1.27,41.94,8794,"Hartsfield-Jackson Atlanta International Airport","Atlanta","GA",33.64044,-84.42694
4,"ATL","B6","JetBlue Airways",292,50.36,1.03,26.94,1.75,31.92,6932,"Hartsfield-Jackson Atlanta International Airport","Atlanta","GA",33.64044,-84.42694
10,"ATL","EV","ExpressJet Airlines Inc.",560,22.81,0,14.08,0,48.12,6974,"Hartsfield-Jackson Atlanta International Airport","Atlanta","GA",33.64044,-84.42694
6,"ATL","EV","ExpressJet Airlines Inc.",1204,87.3,0,67.74,0,112.96,24920,"Hartsfield-Jackson Atlanta International Airport","Atlanta","GA",33.64044,-84.42694
4,"ATL","YX","Republic Airline",385,18.02,0.4,19.76,0,14.83,2799,"Hartsfield-Jackson Atlanta International Airport","Atlanta","GA",33.64044,-84.42694
6,"ATL","UA","United Air Lines Inc.",441,26.99,4.29,45.08,0,32.64,7514,"Hartsfield-Jackson Atlanta International Airport","Atlanta","GA",33.64044,-84.42694
11,"ATL","MQ","Envoy Air",55,0.54,1.7,5.82,0,4.93,479,"Hartsfield-Jackson Atlanta International Airport","Atlanta","GA",33.64044,-84.42694
4,"ATL","YV","Mesa Airlines Inc.",178,16,0,3,0,8,1624,"Hartsfield-Jackson Atlanta International Airport","Atlanta","GA",33.64044,-84.42694
8,"ATL","AS","Alaska Airlines Inc.",63,1.55,0,4.21,0,3.24,299,"Hartsfield-Jackson Atlanta International Airport","Atlanta","GA",33.64044,-84.42694
8,"ATL","AA","American Airlines Inc.",1002,93.5,10.83,96.86,2,77.81,18130,"Hartsfield-Jackson Atlanta International Airport","Atlanta","GA",33.64044,-84.42694
4,"ATL","OO","SkyWest Airlines Inc.",1932,59.58,7.34,92.95,0,163.12,19001,"Hartsfield-Jackson Atlanta International Airport","Atlanta","GA",33.64044,-84.42694
